~With truncated citeseer dataset [0:100]~
Its the same experiment, there is no dataset truncation

epoch 0   train loss: 3.7536  acc: 0.1422   val loss: 4.1592  acc: 0.2030   test loss: 4.1741  acc: 0.2075
epoch 1   train loss: 4.1633  acc: 0.2228   val loss: 3.7411  acc: 0.3068   test loss: 3.7541  acc: 0.2977
epoch 2   train loss: 3.7408  acc: 0.3400   val loss: 3.7522  acc: 0.4331   test loss: 3.7607  acc: 0.4346
epoch 3   train loss: 3.7434  acc: 0.4717   val loss: 3.8134  acc: 0.4075   test loss: 3.8119  acc: 0.4226
epoch 4   train loss: 3.7796  acc: 0.4857   val loss: 3.6497  acc: 0.5233   test loss: 3.6373  acc: 0.5534
epoch 5   train loss: 3.5785  acc: 0.5989   val loss: 3.4539  acc: 0.6887   test loss: 3.4290  acc: 0.7113
epoch 6   train loss: 3.3361  acc: 0.7536   val loss: 3.3900  acc: 0.7068   test loss: 3.3544  acc: 0.7489
epoch 7   train loss: 3.2135  acc: 0.7917   val loss: 3.4036  acc: 0.7128   test loss: 3.3587  acc: 0.7549
epoch 8   train loss: 3.1671  acc: 0.8102   val loss: 3.3867  acc: 0.7143   test loss: 3.3318  acc: 0.7519
epoch 9   train loss: 3.0928  acc: 0.8338   val loss: 3.3167  acc: 0.7113   test loss: 3.2556  acc: 0.7429
epoch 10   train loss: 2.9699  acc: 0.8428   val loss: 3.2385  acc: 0.7008   test loss: 3.1806  acc: 0.7474
epoch 11   train loss: 2.8485  acc: 0.8578   val loss: 3.2043  acc: 0.6977   test loss: 3.1535  acc: 0.7444
epoch 12   train loss: 2.7799  acc: 0.8633   val loss: 3.2160  acc: 0.7008   test loss: 3.1640  acc: 0.7414
epoch 13   train loss: 2.7561  acc: 0.8698   val loss: 3.2390  acc: 0.6932   test loss: 3.1783  acc: 0.7429
epoch 14   train loss: 2.7391  acc: 0.8778   val loss: 3.2471  acc: 0.6962   test loss: 3.1791  acc: 0.7444
epoch 15   train loss: 2.7026  acc: 0.8888   val loss: 3.2471  acc: 0.6992   test loss: 3.1699  acc: 0.7444
epoch 16   train loss: 2.6570  acc: 0.9059   val loss: 3.2540  acc: 0.6962   test loss: 3.1639  acc: 0.7444
epoch 17   train loss: 2.6224  acc: 0.9184   val loss: 3.2735  acc: 0.7008   test loss: 3.1781  acc: 0.7504
epoch 18   train loss: 2.6085  acc: 0.9309   val loss: 3.2950  acc: 0.7008   test loss: 3.2017  acc: 0.7489
epoch 19   train loss: 2.6055  acc: 0.9404   val loss: 3.3049  acc: 0.6977   test loss: 3.2125  acc: 0.7474
epoch 20   train loss: 2.5999  acc: 0.9454   val loss: 3.3022  acc: 0.6947   test loss: 3.2104  acc: 0.7444
epoch 21   train loss: 2.5860  acc: 0.9489   val loss: 3.2999  acc: 0.6947   test loss: 3.2084  acc: 0.7368
