this one came after the 104 epochs, full dataset,  but includes the weights per node for the lambda

epoch 0   train loss: 3.7538  acc: 0.2223   val loss: 4.1518  acc: 0.1925   test loss: 4.1694  acc: 0.1624
epoch 1   train loss: 4.0915  acc: 0.1177   val loss: 3.7596  acc: 0.1534   test loss: 3.7772  acc: 0.1489
epoch 2   train loss: 3.6370  acc: 0.2954   val loss: 3.8501  acc: 0.1549   test loss: 3.8677  acc: 0.1504
epoch 3   train loss: 3.6623  acc: 0.2949   val loss: 3.9916  acc: 0.1609   test loss: 4.0091  acc: 0.1534
epoch 4   train loss: 3.6755  acc: 0.2989   val loss: 3.9442  acc: 0.1579   test loss: 3.9614  acc: 0.1489
epoch 5   train loss: 3.4395  acc: 0.2924   val loss: 3.8748  acc: 0.1594   test loss: 3.8917  acc: 0.1504
epoch 6   train loss: 3.2098  acc: 0.2929   val loss: 3.8932  acc: 0.2872   test loss: 3.9103  acc: 0.2481
epoch 7   train loss: 3.0691  acc: 0.5658   val loss: 3.9877  acc: 0.3489   test loss: 4.0051  acc: 0.3338
epoch 8   train loss: 2.9707  acc: 0.7321   val loss: 4.0593  acc: 0.3805   test loss: 4.0773  acc: 0.3474
epoch 9   train loss: 2.7969  acc: 0.7992   val loss: 4.0731  acc: 0.3895   test loss: 4.0917  acc: 0.3639
epoch 10   train loss: 2.5769  acc: 0.8252   val loss: 4.0654  acc: 0.4000   test loss: 4.0845  acc: 0.3714
epoch 11   train loss: 2.3704  acc: 0.8563   val loss: 4.0733  acc: 0.3955   test loss: 4.0927  acc: 0.3774
epoch 12   train loss: 2.2285  acc: 0.8883   val loss: 4.0971  acc: 0.3925   test loss: 4.1168  acc: 0.3759
epoch 13   train loss: 2.1577  acc: 0.9124   val loss: 4.1042  acc: 0.3835   test loss: 4.1241  acc: 0.3835
epoch 14   train loss: 2.0986  acc: 0.9279   val loss: 4.0799  acc: 0.3865   test loss: 4.0997  acc: 0.3835
epoch 15   train loss: 2.0336  acc: 0.9409   val loss: 4.0335  acc: 0.3865   test loss: 4.0531  acc: 0.3774
epoch 16   train loss: 1.9652  acc: 0.9534   val loss: 3.9919  acc: 0.3774   test loss: 4.0115  acc: 0.3699
epoch 17   train loss: 1.9006  acc: 0.9644   val loss: 3.9725  acc: 0.3759   test loss: 3.9922  acc: 0.3729
epoch 18   train loss: 1.8669  acc: 0.9670   val loss: 3.9705  acc: 0.3789   test loss: 3.9900  acc: 0.3699
epoch 19   train loss: 1.8478  acc: 0.9685   val loss: 3.9694  acc: 0.3759   test loss: 3.9890  acc: 0.3714
epoch 20   train loss: 1.8302  acc: 0.9720   val loss: 3.9604  acc: 0.3789   test loss: 3.9799  acc: 0.3714
epoch 21   train loss: 1.8064  acc: 0.9770   val loss: 3.9467  acc: 0.3789   test loss: 3.9663  acc: 0.3699
epoch 22   train loss: 1.7797  acc: 0.9785   val loss: 3.9353  acc: 0.3729   test loss: 3.9547  acc: 0.3714
epoch 23   train loss: 1.7633  acc: 0.9800   val loss: 3.9302  acc: 0.3789   test loss: 3.9496  acc: 0.3684
epoch 24   train loss: 1.7519  acc: 0.9805   val loss: 3.9269  acc: 0.3759   test loss: 3.9461  acc: 0.3714
epoch 25   train loss: 1.7498  acc: 0.9810   val loss: 3.9228  acc: 0.3805   test loss: 3.9420  acc: 0.3684
epoch 26   train loss: 1.7446  acc: 0.9810   val loss: 3.9180  acc: 0.3759   test loss: 3.9369  acc: 0.3714
