# same experiment as 200 epochs but with no clipping of per_node_lambdas
# also changed source of lpa but that didn't show any difference in the results obtained

epoch 0   train loss: 3.7543  acc: 0.2223   val loss: 4.1838  acc: 0.1744   test loss: 4.1986  acc: 0.1594
epoch 1   train loss: 4.1209  acc: 0.1177   val loss: 3.8291  acc: 0.1368   test loss: 3.8464  acc: 0.1278
epoch 2   train loss: 3.7140  acc: 0.2954   val loss: 3.9648  acc: 0.1549   test loss: 3.9843  acc: 0.1504
epoch 3   train loss: 3.8094  acc: 0.2949   val loss: 4.1212  acc: 0.1624   test loss: 4.1410  acc: 0.1534
epoch 4   train loss: 3.9032  acc: 0.3015   val loss: 4.0585  acc: 0.1549   test loss: 4.0770  acc: 0.1504
epoch 5   train loss: 3.7427  acc: 0.2929   val loss: 3.9866  acc: 0.1549   test loss: 4.0031  acc: 0.1549
epoch 6   train loss: 3.5580  acc: 0.2919   val loss: 4.0356  acc: 0.1293   test loss: 4.0513  acc: 0.1293
epoch 7   train loss: 3.5047  acc: 0.2919   val loss: 4.1567  acc: 0.1293   test loss: 4.1735  acc: 0.1278
epoch 8   train loss: 3.5152  acc: 0.2919   val loss: 4.2165  acc: 0.1293   test loss: 4.2345  acc: 0.1278
epoch 9   train loss: 3.4912  acc: 0.2964   val loss: 4.1712  acc: 0.1338   test loss: 4.1897  acc: 0.1263
epoch 10   train loss: 3.4186  acc: 0.3065   val loss: 4.0921  acc: 0.1759   test loss: 4.1110  acc: 0.1534
epoch 11   train loss: 3.3275  acc: 0.4226   val loss: 4.0599  acc: 0.2211   test loss: 4.0789  acc: 0.2226
epoch 12   train loss: 3.2691  acc: 0.4527   val loss: 4.0867  acc: 0.2241   test loss: 4.1048  acc: 0.2286
epoch 13   train loss: 3.2482  acc: 0.4622   val loss: 4.1258  acc: 0.2256   test loss: 4.1417  acc: 0.2286
epoch 14   train loss: 3.2203  acc: 0.4612   val loss: 4.1388  acc: 0.2286   test loss: 4.1526  acc: 0.2316
epoch 15   train loss: 3.1594  acc: 0.4622   val loss: 4.1371  acc: 0.2617   test loss: 4.1499  acc: 0.2722
epoch 16   train loss: 3.0855  acc: 0.5744   val loss: 4.1535  acc: 0.2902   test loss: 4.1675  acc: 0.2932
epoch 17   train loss: 3.0214  acc: 0.6114   val loss: 4.2025  acc: 0.2902   test loss: 4.2196  acc: 0.2857
epoch 18   train loss: 2.9829  acc: 0.6475   val loss: 4.2551  acc: 0.3323   test loss: 4.2755  acc: 0.3293
epoch 19   train loss: 2.9648  acc: 0.7521   val loss: 4.2744  acc: 0.3353   test loss: 4.2977  acc: 0.3338
epoch 20   train loss: 2.9427  acc: 0.7561   val loss: 4.2559  acc: 0.3368   test loss: 4.2806  acc: 0.3293
epoch 21   train loss: 2.9079  acc: 0.7536   val loss: 4.2288  acc: 0.3429   test loss: 4.2520  acc: 0.3293
epoch 22   train loss: 2.8697  acc: 0.7631   val loss: 4.2191  acc: 0.3459   test loss: 4.2387  acc: 0.3383
epoch 23   train loss: 2.8455  acc: 0.7722   val loss: 4.2266  acc: 0.3444   test loss: 4.2413  acc: 0.3429
epoch 24   train loss: 2.8335  acc: 0.7787   val loss: 4.2366  acc: 0.3444   test loss: 4.2465  acc: 0.3459
epoch 25   train loss: 2.8206  acc: 0.7812   val loss: 4.2385  acc: 0.3474   test loss: 4.2467  acc: 0.3564
epoch 26   train loss: 2.8002  acc: 0.8077   val loss: 4.2356  acc: 0.3624   test loss: 4.2459  acc: 0.3850
epoch 27   train loss: 2.7768  acc: 0.8773   val loss: 4.2381  acc: 0.3910   test loss: 4.2533  acc: 0.3970
epoch 28   train loss: 2.7580  acc: 0.9049   val loss: 4.2475  acc: 0.3925   test loss: 4.2683  acc: 0.3714
epoch 29   train loss: 2.7467  acc: 0.9049   val loss: 4.2551  acc: 0.3970   test loss: 4.2802  acc: 0.3684
epoch 30   train loss: 2.7364  acc: 0.9039   val loss: 4.2558  acc: 0.4105   test loss: 4.2822  acc: 0.3729
epoch 31   train loss: 2.7246  acc: 0.9034   val loss: 4.2528  acc: 0.4180   test loss: 4.2772  acc: 0.3910
epoch 32   train loss: 2.7100  acc: 0.9049   val loss: 4.2534  acc: 0.3970   test loss: 4.2730  acc: 0.3970
epoch 33   train loss: 2.6980  acc: 0.9084   val loss: 4.2604  acc: 0.3940   test loss: 4.2746  acc: 0.4271
epoch 34   train loss: 2.6916  acc: 0.9114   val loss: 4.2697  acc: 0.3865   test loss: 4.2802  acc: 0.4331
epoch 35   train loss: 2.6876  acc: 0.9129   val loss: 4.2745  acc: 0.3865   test loss: 4.2844  acc: 0.4346
epoch 36   train loss: 2.6835  acc: 0.9144   val loss: 4.2727  acc: 0.3835   test loss: 4.2853  acc: 0.3970
epoch 37   train loss: 2.6785  acc: 0.9139   val loss: 4.2686  acc: 0.4105   test loss: 4.2856  acc: 0.3985
epoch 38   train loss: 2.6743  acc: 0.9174   val loss: 4.2669  acc: 0.4015   test loss: 4.2880  acc: 0.3759
epoch 39   train loss: 2.6713  acc: 0.9234   val loss: 4.2684  acc: 0.4060   test loss: 4.2919  acc: 0.3714
epoch 40   train loss: 2.6689  acc: 0.9254   val loss: 4.2717  acc: 0.4030   test loss: 4.2948  acc: 0.3744
epoch 41   train loss: 2.6667  acc: 0.9299   val loss: 4.2750  acc: 0.4090   test loss: 4.2956  acc: 0.3880
epoch 42   train loss: 2.6631  acc: 0.9309   val loss: 4.2779  acc: 0.3865   test loss: 4.2951  acc: 0.4060
epoch 43   train loss: 2.6596  acc: 0.9344   val loss: 4.2803  acc: 0.3925   test loss: 4.2947  acc: 0.4376
epoch 44   train loss: 2.6563  acc: 0.9394   val loss: 4.2825  acc: 0.3955   test loss: 4.2958  acc: 0.4346
epoch 45   train loss: 2.6534  acc: 0.9444   val loss: 4.2847  acc: 0.3880   test loss: 4.2988  acc: 0.4226
epoch 46   train loss: 2.6504  acc: 0.9459   val loss: 4.2869  acc: 0.4150   test loss: 4.3031  acc: 0.4105
epoch 47   train loss: 2.6470  acc: 0.9514   val loss: 4.2887  acc: 0.4030   test loss: 4.3072  acc: 0.3970
epoch 48   train loss: 2.6437  acc: 0.9539   val loss: 4.2898  acc: 0.4030   test loss: 4.3098  acc: 0.3744
epoch 49   train loss: 2.6410  acc: 0.9554   val loss: 4.2887  acc: 0.3985   test loss: 4.3089  acc: 0.3865
epoch 50   train loss: 2.6386  acc: 0.9559   val loss: 4.2860  acc: 0.4165   test loss: 4.3053  acc: 0.4090
epoch 51   train loss: 2.6363  acc: 0.9569   val loss: 4.2829  acc: 0.3970   test loss: 4.3008  acc: 0.4090
epoch 52   train loss: 2.6342  acc: 0.9574   val loss: 4.2801  acc: 0.4060   test loss: 4.2967  acc: 0.4180
epoch 53   train loss: 2.6320  acc: 0.9569   val loss: 4.2780  acc: 0.4105   test loss: 4.2940  acc: 0.4346
epoch 54   train loss: 2.6300  acc: 0.9569   val loss: 4.2758  acc: 0.3940   test loss: 4.2918  acc: 0.4211
epoch 55   train loss: 2.6282  acc: 0.9579   val loss: 4.2726  acc: 0.4120   test loss: 4.2892  acc: 0.4120
epoch 56   train loss: 2.6263  acc: 0.9584   val loss: 4.2691  acc: 0.4105   test loss: 4.2866  acc: 0.4060
epoch 57   train loss: 2.6246  acc: 0.9584   val loss: 4.2659  acc: 0.3895   test loss: 4.2842  acc: 0.4045
epoch 58   train loss: 2.6232  acc: 0.9584   val loss: 4.2638  acc: 0.4075   test loss: 4.2825  acc: 0.3985
epoch 59   train loss: 2.6220  acc: 0.9584   val loss: 4.2626  acc: 0.4090   test loss: 4.2811  acc: 0.3955
epoch 60   train loss: 2.6210  acc: 0.9589   val loss: 4.2611  acc: 0.3985   test loss: 4.2791  acc: 0.4030
epoch 61   train loss: 2.6201  acc: 0.9584   val loss: 4.2600  acc: 0.4030   test loss: 4.2773  acc: 0.4256
epoch 62   train loss: 2.6194  acc: 0.9579   val loss: 4.2590  acc: 0.4015   test loss: 4.2759  acc: 0.4286
epoch 63   train loss: 2.6188  acc: 0.9579   val loss: 4.2577  acc: 0.3880   test loss: 4.2745  acc: 0.4180
epoch 64   train loss: 2.6182  acc: 0.9579   val loss: 4.2566  acc: 0.4000   test loss: 4.2737  acc: 0.4150
epoch 65   train loss: 2.6177  acc: 0.9574   val loss: 4.2559  acc: 0.4135   test loss: 4.2735  acc: 0.4045
epoch 66   train loss: 2.6173  acc: 0.9574   val loss: 4.2555  acc: 0.3865   test loss: 4.2735  acc: 0.3985
epoch 67   train loss: 2.6169  acc: 0.9569   val loss: 4.2554  acc: 0.4211   test loss: 4.2734  acc: 0.3850
epoch 68   train loss: 2.6165  acc: 0.9559   val loss: 4.2549  acc: 0.3850   test loss: 4.2728  acc: 0.4015
epoch 69   train loss: 2.6162  acc: 0.9559   val loss: 4.2544  acc: 0.3820   test loss: 4.2719  acc: 0.4045
epoch 70   train loss: 2.6159  acc: 0.9549   val loss: 4.2538  acc: 0.4060   test loss: 4.2711  acc: 0.4120
epoch 71   train loss: 2.6155  acc: 0.9559   val loss: 4.2533  acc: 0.3805   test loss: 4.2705  acc: 0.4331
epoch 72   train loss: 2.6152  acc: 0.9559   val loss: 4.2532  acc: 0.4105   test loss: 4.2706  acc: 0.4180
epoch 73   train loss: 2.6149  acc: 0.9564   val loss: 4.2530  acc: 0.4150   test loss: 4.2706  acc: 0.4090
epoch 74   train loss: 2.6145  acc: 0.9564   val loss: 4.2530  acc: 0.3970   test loss: 4.2707  acc: 0.3955
epoch 75   train loss: 2.6141  acc: 0.9564   val loss: 4.2533  acc: 0.3985   test loss: 4.2710  acc: 0.4120
epoch 76   train loss: 2.6138  acc: 0.9559   val loss: 4.2537  acc: 0.3970   test loss: 4.2712  acc: 0.3970
epoch 77   train loss: 2.6134  acc: 0.9564   val loss: 4.2538  acc: 0.3880   test loss: 4.2713  acc: 0.4060
epoch 78   train loss: 2.6131  acc: 0.9574   val loss: 4.2536  acc: 0.4015   test loss: 4.2711  acc: 0.4105
epoch 79   train loss: 2.6128  acc: 0.9569   val loss: 4.2534  acc: 0.4015   test loss: 4.2709  acc: 0.4135
epoch 80   train loss: 2.6125  acc: 0.9569   val loss: 4.2535  acc: 0.3970   test loss: 4.2711  acc: 0.4195
epoch 81   train loss: 2.6121  acc: 0.9574   val loss: 4.2536  acc: 0.4165   test loss: 4.2712  acc: 0.4150
epoch 82   train loss: 2.6118  acc: 0.9579   val loss: 4.2540  acc: 0.4030   test loss: 4.2715  acc: 0.4060
epoch 83   train loss: 2.6115  acc: 0.9579   val loss: 4.2542  acc: 0.4195   test loss: 4.2717  acc: 0.4090
epoch 84   train loss: 2.6113  acc: 0.9579   val loss: 4.2542  acc: 0.3970   test loss: 4.2716  acc: 0.3925
epoch 85   train loss: 2.6111  acc: 0.9584   val loss: 4.2546  acc: 0.3865   test loss: 4.2721  acc: 0.4015
epoch 86   train loss: 2.6109  acc: 0.9589   val loss: 4.2547  acc: 0.3850   test loss: 4.2723  acc: 0.3955
epoch 87   train loss: 2.6107  acc: 0.9584   val loss: 4.2552  acc: 0.3865   test loss: 4.2729  acc: 0.4045
epoch 88   train loss: 2.6105  acc: 0.9584   val loss: 4.2551  acc: 0.4090   test loss: 4.2728  acc: 0.4226
epoch 89   train loss: 2.6103  acc: 0.9584   val loss: 4.2546  acc: 0.4135   test loss: 4.2722  acc: 0.4165
epoch 90   train loss: 2.6101  acc: 0.9584   val loss: 4.2544  acc: 0.4090   test loss: 4.2719  acc: 0.4195
epoch 91   train loss: 2.6100  acc: 0.9584   val loss: 4.2545  acc: 0.4150   test loss: 4.2720  acc: 0.4180
epoch 92   train loss: 2.6099  acc: 0.9584   val loss: 4.2548  acc: 0.3850   test loss: 4.2723  acc: 0.3910
epoch 93   train loss: 2.6097  acc: 0.9589   val loss: 4.2546  acc: 0.3940   test loss: 4.2721  acc: 0.3955
epoch 94   train loss: 2.6097  acc: 0.9584   val loss: 4.2545  acc: 0.3985   test loss: 4.2721  acc: 0.3955
epoch 95   train loss: 2.6096  acc: 0.9584   val loss: 4.2541  acc: 0.3910   test loss: 4.2717  acc: 0.4000
epoch 96   train loss: 2.6095  acc: 0.9584   val loss: 4.2538  acc: 0.4135   test loss: 4.2715  acc: 0.4165
epoch 97   train loss: 2.6094  acc: 0.9584   val loss: 4.2538  acc: 0.4090   test loss: 4.2714  acc: 0.4195
epoch 98   train loss: 2.6093  acc: 0.9584   val loss: 4.2537  acc: 0.4105   test loss: 4.2712  acc: 0.4150
epoch 99   train loss: 2.6092  acc: 0.9584   val loss: 4.2538  acc: 0.4180   test loss: 4.2713  acc: 0.4241
epoch 100   train loss: 2.6092  acc: 0.9574   val loss: 4.2532  acc: 0.3910   test loss: 4.2706  acc: 0.4075
epoch 101   train loss: 2.6091  acc: 0.9584   val loss: 4.2536  acc: 0.3865   test loss: 4.2711  acc: 0.3940
epoch 102   train loss: 2.6090  acc: 0.9584   val loss: 4.2532  acc: 0.3759   test loss: 4.2708  acc: 0.4015
epoch 103   train loss: 2.6089  acc: 0.9584   val loss: 4.2538  acc: 0.3925   test loss: 4.2715  acc: 0.3940
epoch 104   train loss: 2.6089  acc: 0.9574   val loss: 4.2527  acc: 0.4015   test loss: 4.2704  acc: 0.4165
epoch 105   train loss: 2.6088  acc: 0.9584   val loss: 4.2529  acc: 0.4195   test loss: 4.2705  acc: 0.4301
epoch 106   train loss: 2.6087  acc: 0.9574   val loss: 4.2523  acc: 0.4211   test loss: 4.2698  acc: 0.4241
epoch 107   train loss: 2.6086  acc: 0.9584   val loss: 4.2534  acc: 0.3925   test loss: 4.2708  acc: 0.4150
epoch 108   train loss: 2.6085  acc: 0.9579   val loss: 4.2529  acc: 0.3955   test loss: 4.2703  acc: 0.4030
epoch 109   train loss: 2.6085  acc: 0.9584   val loss: 4.2530  acc: 0.3699   test loss: 4.2705  acc: 0.3865
epoch 110   train loss: 2.6084  acc: 0.9569   val loss: 4.2523  acc: 0.3850   test loss: 4.2699  acc: 0.3925
epoch 111   train loss: 2.6083  acc: 0.9584   val loss: 4.2529  acc: 0.4195   test loss: 4.2706  acc: 0.4000
epoch 112   train loss: 2.6082  acc: 0.9579   val loss: 4.2523  acc: 0.4211   test loss: 4.2700  acc: 0.4286
epoch 113   train loss: 2.6082  acc: 0.9584   val loss: 4.2528  acc: 0.4346   test loss: 4.2703  acc: 0.4271
epoch 114   train loss: 2.6080  acc: 0.9584   val loss: 4.2522  acc: 0.4030   test loss: 4.2696  acc: 0.4060
epoch 115   train loss: 2.6078  acc: 0.9589   val loss: 4.2530  acc: 0.3744   test loss: 4.2704  acc: 0.4105
epoch 116   train loss: 2.6075  acc: 0.9574   val loss: 4.2528  acc: 0.3714   test loss: 4.2703  acc: 0.3865
epoch 117   train loss: 2.6072  acc: 0.9594   val loss: 4.2536  acc: 0.3820   test loss: 4.2712  acc: 0.3865
epoch 118   train loss: 2.6070  acc: 0.9584   val loss: 4.2526  acc: 0.4045   test loss: 4.2703  acc: 0.4015
