epoch 0   train loss: 3.7541  acc: 0.1422   val loss: 4.2491  acc: 0.2030   test loss: 4.2639  acc: 0.2075
epoch 1   train loss: 4.2530  acc: 0.2233   val loss: 3.7465  acc: 0.3008   test loss: 3.7594  acc: 0.2902
epoch 2   train loss: 3.7473  acc: 0.3300   val loss: 3.7840  acc: 0.4286   test loss: 3.7925  acc: 0.4256
epoch 3   train loss: 3.7805  acc: 0.4407   val loss: 3.8776  acc: 0.4105   test loss: 3.8768  acc: 0.4195
epoch 4   train loss: 3.8597  acc: 0.4667   val loss: 3.7005  acc: 0.5203   test loss: 3.6904  acc: 0.5564
epoch 5   train loss: 3.6657  acc: 0.5759   val loss: 3.4827  acc: 0.6977   test loss: 3.4650  acc: 0.7218
epoch 6   train loss: 3.4294  acc: 0.7316   val loss: 3.4153  acc: 0.7203   test loss: 3.3928  acc: 0.7338
epoch 7   train loss: 3.3369  acc: 0.7601   val loss: 3.4360  acc: 0.7293   test loss: 3.4093  acc: 0.7594
epoch 8   train loss: 3.3334  acc: 0.7742   val loss: 3.4158  acc: 0.7233   test loss: 3.3824  acc: 0.7534
epoch 9   train loss: 3.2911  acc: 0.7887   val loss: 3.3223  acc: 0.7263   test loss: 3.2873  acc: 0.7549
epoch 10   train loss: 3.1776  acc: 0.7977   val loss: 3.2193  acc: 0.7338   test loss: 3.1930  acc: 0.7624
epoch 11   train loss: 3.0595  acc: 0.8117   val loss: 3.1716  acc: 0.7323   test loss: 3.1529  acc: 0.7594
epoch 12   train loss: 3.0006  acc: 0.8212   val loss: 3.1740  acc: 0.7368   test loss: 3.1546  acc: 0.7549
epoch 13   train loss: 2.9923  acc: 0.8207   val loss: 3.1863  acc: 0.7323   test loss: 3.1617  acc: 0.7564
epoch 14   train loss: 2.9903  acc: 0.8252   val loss: 3.1729  acc: 0.7338   test loss: 3.1510  acc: 0.7609
epoch 15   train loss: 2.9639  acc: 0.8222   val loss: 3.1546  acc: 0.7248   test loss: 3.1112  acc: 0.7624
epoch 16   train loss: 2.9225  acc: 0.8227   val loss: 3.1400  acc: 0.7278   test loss: 3.1078  acc: 0.7714
epoch 17   train loss: 2.8918  acc: 0.8443   val loss: 3.1476  acc: 0.7188   test loss: 3.1032  acc: 0.7639
epoch 18   train loss: 2.8793  acc: 0.8448   val loss: 3.1660  acc: 0.7203   test loss: 3.1234  acc: 0.7654
epoch 19   train loss: 2.8843  acc: 0.8528   val loss: 3.1754  acc: 0.7353   test loss: 3.1451  acc: 0.7729
epoch 20   train loss: 2.8869  acc: 0.8668   val loss: 3.1717  acc: 0.7278   test loss: 3.1282  acc: 0.7744
epoch 21   train loss: 2.8779  acc: 0.8653   val loss: 3.1647  acc: 0.7459   test loss: 3.1401  acc: 0.7654
epoch 22   train loss: 2.8725  acc: 0.8683   val loss: 3.1644  acc: 0.7383   test loss: 3.1192  acc: 0.7805
epoch 23   train loss: 2.8600  acc: 0.8703   val loss: 3.1554  acc: 0.7338   test loss: 3.1194  acc: 0.7774
epoch 24   train loss: 2.8513  acc: 0.8663   val loss: 3.1673  acc: 0.7368   test loss: 3.1287  acc: 0.7789
epoch 25   train loss: 2.8562  acc: 0.8723   val loss: 3.1798  acc: 0.7323   test loss: 3.1327  acc: 0.7805
epoch 26   train loss: 2.8594  acc: 0.8798   val loss: 3.1669  acc: 0.7429   test loss: 3.1329  acc: 0.7759
epoch 27   train loss: 2.8493  acc: 0.8773   val loss: 3.1639  acc: 0.7323   test loss: 3.1184  acc: 0.7895
epoch 28   train loss: 2.8411  acc: 0.8788   val loss: 3.1718  acc: 0.7383   test loss: 3.1344  acc: 0.7805
epoch 29   train loss: 2.8451  acc: 0.8893   val loss: 3.1683  acc: 0.7429   test loss: 3.1274  acc: 0.7835
epoch 30   train loss: 2.8423  acc: 0.8788   val loss: 3.1717  acc: 0.7398   test loss: 3.1261  acc: 0.7895
epoch 31   train loss: 2.8387  acc: 0.8858   val loss: 3.1778  acc: 0.7383   test loss: 3.1408  acc: 0.7805
epoch 32   train loss: 2.8419  acc: 0.8898   val loss: 3.1690  acc: 0.7383   test loss: 3.1254  acc: 0.7820
epoch 33   train loss: 2.8356  acc: 0.8823   val loss: 3.1675  acc: 0.7383   test loss: 3.1224  acc: 0.7925
epoch 34   train loss: 2.8293  acc: 0.8883   val loss: 3.1695  acc: 0.7353   test loss: 3.1407  acc: 0.7759
epoch 35   train loss: 2.8348  acc: 0.8903   val loss: 3.1728  acc: 0.7444   test loss: 3.1179  acc: 0.7895
epoch 36   train loss: 2.8361  acc: 0.8803   val loss: 3.1656  acc: 0.7398   test loss: 3.1346  acc: 0.7759
epoch 37   train loss: 2.8320  acc: 0.8858   val loss: 3.1784  acc: 0.7323   test loss: 3.1246  acc: 0.7865
epoch 38   train loss: 2.8367  acc: 0.8843   val loss: 3.1685  acc: 0.7353   test loss: 3.1271  acc: 0.7805
epoch 39   train loss: 2.8329  acc: 0.8848   val loss: 3.1639  acc: 0.7414   test loss: 3.1167  acc: 0.7925
epoch 40   train loss: 2.8225  acc: 0.8858   val loss: 3.1666  acc: 0.7308   test loss: 3.1189  acc: 0.7835
epoch 41   train loss: 2.8257  acc: 0.8908   val loss: 3.1555  acc: 0.7383   test loss: 3.1172  acc: 0.7850
epoch 42   train loss: 2.8228  acc: 0.8863   val loss: 3.1526  acc: 0.7459   test loss: 3.1055  acc: 0.7895
